trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,False,"{'a': 0.3, 'e': 0.25034408974245487}",25,0,-34.41660507771181,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.2378268852553321}",30,4,7.9795342657295585,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.2259355409925655}",25,0,24.455720203746772,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.2146387639429372}",25,11,25.216561129560073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.20390682574579033}",30,18,18.794580670085402,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 0.1937114844585008}",20,13,12.706818389998704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.18402591023557577}",20,14,-31.49166534908312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.3, 'e': 0.17482461472379698}",20,0,30.80543547059968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.3, 'e': 0.16608338398760714}",25,19,11.058630724949976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.15777921478822676}",30,14,13.321318577223618,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.14989025404881542}",20,0,-1.8604343010325373,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.14239574134637464}",25,13,21.827375257140396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.1352759542790559}",25,17,-9.776623613477687,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.1285121565651031}",25,0,15.885002806578772,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
